00:00:12.3281250 | JPEG_QUALITYAVERAGE | FILTER_BICUBIC
00:00:07.7968750 | JPEG_QUALITYAVERAGE | FILTER_BILINEAR
00:00:06.8593750 | JPEG_QUALITYAVERAGE | FILTER_BOX
00:00:09.5625000 | JPEG_QUALITYAVERAGE | FILTER_BSPLINE
00:00:09.6718750 | JPEG_QUALITYGOOD | FILTER_BICUBIC
00:00:07.4218750 | JPEG_QUALITYGOOD | FILTER_BILINEAR
00:00:06.5156250 | JPEG_QUALITYGOOD | FILTER_BOX
00:00:10.0312500 | JPEG_QUALITYGOOD | FILTER_BSPLINE
00:00:09.7031250 | PNG_INTERLACED | FILTER_BICUBIC
00:00:07.3593750 | PNG_INTERLACED | FILTER_BILINEAR
00:00:06.2968750 | PNG_INTERLACED | FILTER_BOX
00:00:10.1093750 | PNG_INTERLACED | FILTER_BSPLINE
00:00:09.6562500 | JPEG_QUALITYSUPERB | FILTER_BICUBIC
00:00:07.3906250 | JPEG_QUALITYSUPERB | FILTER_BILINEAR
00:00:06.5312500 | JPEG_QUALITYSUPERB | FILTER_BOX
00:00:11.8437500 | JPEG_QUALITYSUPERB | FILTER_BSPLINE
