00:00:14.5625000 | JPEG_QUALITYAVERAGE | FILTER_BICUBIC
00:00:12.2656250 | JPEG_QUALITYAVERAGE | FILTER_BILINEAR
00:00:09.5000000 | JPEG_QUALITYAVERAGE | FILTER_BOX
00:00:14.1562500 | JPEG_QUALITYAVERAGE | FILTER_BSPLINE
00:00:13.8906250 | JPEG_QUALITYAVERAGE | FILTER_CATMULLROM
00:00:17.1406250 | JPEG_QUALITYAVERAGE | FILTER_LANCZOS3
00:00:14.1093750 | TIFF_NONE | FILTER_BICUBIC
00:00:10.9531250 | TIFF_NONE | FILTER_BILINEAR
00:00:08.9843750 | TIFF_NONE | FILTER_BOX
00:00:13.7812500 | TIFF_NONE | FILTER_BSPLINE
00:00:14.0937500 | TIFF_NONE | FILTER_CATMULLROM
00:00:17.9218750 | TIFF_NONE | FILTER_LANCZOS3
00:00:15.3906250 | JPEG_QUALITYGOOD | FILTER_BICUBIC
00:00:10.7968750 | JPEG_QUALITYGOOD | FILTER_BILINEAR
00:00:09.2031250 | JPEG_QUALITYGOOD | FILTER_BOX
00:00:14.9375000 | JPEG_QUALITYGOOD | FILTER_BSPLINE
00:00:14.4062500 | JPEG_QUALITYGOOD | FILTER_CATMULLROM
00:00:19.1406250 | JPEG_QUALITYGOOD | FILTER_LANCZOS3
00:00:13.7968750 | PNG_INTERLACED | FILTER_BICUBIC
00:00:11.6093750 | PNG_INTERLACED | FILTER_BILINEAR
00:00:09.0781250 | PNG_INTERLACED | FILTER_BOX
00:00:14.5156250 | PNG_INTERLACED | FILTER_BSPLINE
00:00:15.1875000 | PNG_INTERLACED | FILTER_CATMULLROM
00:00:17.4062500 | PNG_INTERLACED | FILTER_LANCZOS3
00:00:16.3125000 | JPEG_QUALITYSUPERB | FILTER_BICUBIC
00:00:11.5312500 | JPEG_QUALITYSUPERB | FILTER_BILINEAR
00:00:12.1250000 | JPEG_QUALITYSUPERB | FILTER_BOX
00:00:14.3750000 | JPEG_QUALITYSUPERB | FILTER_BSPLINE
00:00:15.9843750 | JPEG_QUALITYSUPERB | FILTER_CATMULLROM
00:00:17.7500000 | JPEG_QUALITYSUPERB | FILTER_LANCZOS3
